number;disciplines_id;avgMark
688;1339;3.757
689;1341;4.3
690;1343;4.695
691;1344;3.65
692;1348;4.135
693;1351;4.833
694;1352;2
695;1353;3.556
696;1358;3.378
697;1360;3.977
698;1361;4.2
699;1363;2
700;1364;4.353
701;1365;4.607
702;1366;3.478
703;1368;3.95
704;1369;4.35
705;1370;4.833
706;1371;4.167
707;1372;4.406
708;1373;4.583
709;1375;3.727
710;1376;3.233
711;1377;4.325
712;1378;5
713;1379;2.848
714;1380;4.885
715;1381;3.683
716;1384;4.133
717;1385;4.643
718;1386;3.636
719;1387;4.526
720;1395;3.952
721;1397;4.319
722;1398;2
723;1399;4.083
724;1402;4.067
725;1403;4.85
726;1404;3.385
727;1406;3.571
728;1407;4.04
729;1409;3.951
730;1410;4.394
731;1412;3.708
732;1413;4.191
733;1415;4.133
734;1417;4.694
735;1419;4.794
736;1420;2
737;1421;3.167
738;1423;3.962
739;1424;3.962
740;1425;4.043
741;1426;4.714
742;1427;4.536
743;1431;4.653
744;1435;4.667
745;1436;3.643
746;1437;4.406
747;1438;4.684
748;1439;4.456
749;1440;3.44
750;1441;4.067
751;1443;4.833
752;1446;5
753;1447;4.875
754;1449;4
755;1450;3.828
756;1452;4.02
757;1454;4.231
758;1455;3.563
759;1456;3.25
760;1460;3.75
761;1461;4.143
762;1462;4.865
763;1463;3.203
764;1464;4.692
765;1465;4
766;1466;4.467
767;1468;3.905
768;1469;3.947
769;1474;4.75
770;1477;4.154
771;1478;3.75
772;1479;3.528
773;1481;4.714
774;1484;3.367
775;1486;4.198
776;1487;4.415
777;1488;3.625
778;1491;3.684
779;1494;4.077
780;1495;3.314
781;1496;4
782;1497;4.385
783;1500;4.15
784;1504;4.364
785;1505;4.318
786;1506;3.621
787;1509;4.545
788;1512;3.7
789;1513;3.133
790;1514;3.649
791;1516;3.071
792;1518;3.342
793;1519;3.969
794;1521;3.8
795;1528;4.4
796;1530;4.808
797;1531;4.647
798;1532;3.857
799;1536;3.973
800;1539;4.438
801;1542;4.385
802;1543;3.208
803;1546;4.267
804;1547;4.563
805;1548;4.917
806;1550;3.96
807;1551;4.038
808;1554;4.462
809;1556;4.3
810;1558;4.52
811;1559;4.25
812;1560;4.231
813;1562;3.929
814;1567;5
815;1568;4.71
816;1569;3.526
817;1570;4.2
818;1571;3.337
819;1572;4.56
820;1573;4.267
821;1575;4.235
822;1577;4
823;1581;4.053
824;1582;3.353
825;1590;3.423
826;1591;4.026
827;1593;3.286
828;1595;3.96
829;1596;3.898
830;1597;4.684
831;1598;4.9
832;1599;4.786
833;1601;2
834;1604;3.587
835;1606;2
836;1608;3.453
837;1609;4.227
838;1612;3.874
839;1614;4.2
840;1615;3.538
841;1617;4.818
842;1618;2.667
843;1619;3.667
844;1620;3.727
845;1622;4.333
846;1624;2
847;1625;3.444
848;1626;4.733
849;1631;4.3
850;1632;3.846
851;1633;4.875
852;1636;4.5
853;1638;3.906
854;1641;4.409
855;1645;4.066
856;1646;4.7
857;1647;4.429
858;1648;4.769
859;1650;3.667
860;1651;5
861;1653;4.316
862;1655;4.083
863;1657;3.857
864;1658;3.95
865;1662;3.561
866;1665;3.522
867;1666;4.867
868;1667;4.905
869;1669;4.722
870;1674;4.424
871;1675;3.5
872;1678;3
873;1682;5
874;1683;3.1
875;1686;3.92
876;1689;2.182
877;1690;4.281
878;1695;4
879;1696;4.563
880;1697;4.448
881;1700;3.667
882;1703;4.3
883;1704;3.789
884;1717;3.769
885;1719;4.261
