number;name;avgMark
1850;Статистический анализ и планирование эксперимента;5
1851;Беспроводные информационные сети;4.467
1852;Геологическое моделирование месторождений нефти и газа;4.556
1853;Проектирование корпоративных систем;4.905
1854;Технология производства котлов и парогенераторов;4.455
1855;Математическая экономика;2
1856;Гарантии МАГАТЭ и культура безопасности;5
1857;Управление на предприятиях нефтяной и газовой промышленности;4.433
1858;Моделирование физических систем;4.917
1859;Лазерные технологии и оборудование;4.375
1860;Прикладная математическая статистика;4.5
1861;Управление продажами;4.438
1862;Эстетика освещения,световая реклама и дизайн;4
1863;Катализ в органическом синтезе;4.75
1864;Управленческий учет;3
1865;Управление и безопасность ЯППУ;5
1866;Бюджетное планирование;4.926
1867;Методология и прикладные модели менеджмента;4
1868;Проектирование телекоммуникационных систем;4.733
1869;Процессы получения,переработки и обработки материалов;4.9
1870;Лабораторный практикум по гидрометаллургическим технологиям;2
1871;Расчет и проектирование средств защиты оборудования;4.273
1872;Корпускулярно-фотонные технологии;4.857
1873;Методы вычислительного интеллекта;4.615
1874;Управление персоналом организации;2
1875;Теория и методы современного мониторинга состояния окружающей среды;4.361
1876;Теоретическая геоинформатика;4.9
1877;Методы разделения стабильных изотопов;4.357
1878;Лазерные системы в медицине;4.545
1879;Грунтоведение;4
1880;Хранилища данных;5
1881;Радиоактивные элементы в окружающей среде;4.667
1882;Экономика землеустройства;3
1883;Защита гидросферы от антропогенного воздействия;4.714
1884;Электротехнические комплексы и системы;5
1885;Организация и нормирование труда;3.122
1886;Теория распознавания образов;4.917
1887;Современные технологии поверхностного упрочнения;5
1888;Техническая петрография;4.077
1889;Методы создания продуцентов биологически активных веществ;4.125
1890;Малые земные станции спутниковой связи HUGHES HNHX;3.875
1891;Мониторинг состояния и контроль надежности материалов и изделий;4.9
1892;Ресурсоэффективные технологии в агропромышленном комплексе;3.167
1893;Экологический мониторинг;4.231
1894;Пучково-плазменные технологии обработки материалов;4.889
1895;Силовые преобразователи в электроснабжении;3.667
1896;Автоматизированное проектирование электронных приборов;4.583
1897;Физико-химические свойства натуральных топлив;4.364
1898;Инноватика и предпринимательство для ИТ-инженеров;5
1899;Управление инновационными интернет-проектами;5
1900;Радиоактивные элементы в окружающей среде и проблемы радиоэкологии;4.583
1901;Промышленно-генетические типы месторождений стратегических металлов;4.667
1902;Оценка стоимости предприятия (бизнеса);4.5
1903;Автоматическое управление режимами работы энергосистем;4.85
1904;Организация и планирование научных исследований (на английском языке);5
1905;Методы научных исследований в теплофизике;5
1906;Педагогика;4
1907;Основные принципы современной физики;4
1908;Компьютерное моделирование многочастичных систем;5
1909;Экспериментальные методы в теплофизике;4
1910;Физика реального газа и жидкости;5
1911;Технология и оборудование переработки промышленных отходов;4
1912;Реклама в Интернет-среде;5
1913;Монтаж,наладка и диагностика общепромышленных электроприводов;2
1914;Землеустройство,кадастр и мониторинг земель;5
1915;Управление базами данных;4
1916;Системы автоматического управления электроэнергетическими объектами предприятий;3.377
1917;Профессиональная подготовка на русском языке;2
1918;Русский язык (адаптационный курс);2
1919;Введение в квантовую теорию поля;5
1920;Ядерная астрофизика;5
1921;3D-моделирование реагирующих течений;4
1922;Экспериментальные методы в физике низких температур;4
1923;Физика гелия;4
1924;Моделирование горения жидких и твердых топлив;4
1925;Динамика,прочность машин,приборов и аппаратуры;5
1926;Приборы навигации;5
1927;Электромеханика и электрические аппараты;5
1928;Медицина катастроф;3.971
1929;Энерготехнологические процессы,установки и энергосбережение;2
1930;Спектральные методы исследования и анализа материалов;4.857
1931;Монтаж,наладка и эксплуатация электрооборудования;2
1932;Планирование использования земель;4
1933;Теория электропривода;3.4
1934;ERP-системы;4
1935;Управление техносферной безопасностью;3.548
1936;Промышленная теплоэнергетика;4.5
1937;Методы измерений и автоматизация физического эксперимента;2
1938;Процессы и аппараты химических технологий;4.4
1939;Теория инноваций;4.071
1940;Практикум по финансам и денежному обращению;3.962
1941;Современные производственные системы;2
1942;Геоэкология (науки о Земле);4.833
1943;Кинетика физико-химических явлений и процессов,методы их изучения. Часть 1;4.643
1944;Проектирование электронных и микропроцессорных систем;4.8
1945;Теория и методика обучения и воспитания (профессиональный уровень,иностранные языки);5
1946;Математическое программирование и оптимизация систем;2
1947;Теория и методика профессионального образования;5
1948;Графические средства в информационных системах;2
1949;Программирование на языках описания аппаратуры;4.114
1950;Технология редких,рассеянных и радиоактивных элементов;4.25
1951;Наноструктурные материалы на металлической и керамической основе;4.889
1952;Физика пучков заряженных частиц и ускорительная техника;4.5
1953;Магнитные свойства вещества;5
1954;Математическое моделирование,численные методы и комплексы программ;3.286
1955;Математическое моделирование электромеханических систем;3.487
1956;Технология сварки давлением;3.364
1957;Тепловые электрические станции,их энергетические системы и агрегаты;5
1958;Внешний и внутренний аудит;4.519
1959;Фемтосекундные науки: от концепции до применения;5
1960;Экономика 2.6;4.267
1961;Методы решения обратных задач спектроскопии;5
1962;Неприводимые тензорные системы в физике молекул;5
1963;Научные основы модифицирования поверхности материалов;4.889
1964;Порошковые композиционные материалы и изделия;4.778
1965;Дополнительные главы математической физики;5
1966;Ядерные энергетические установки,включая проектирование,эксплуатацию и вывод из эксплуатации;3.667
1967;Микропроцессорные системы диагностики;2
1968;Теория автоматического управления 2;3.464
1969;Машиноведение,системы приводов и детали машин;5
1970;Приборы и методы измерения (по видам измерений);5
1971;Основы проектирования химических производств;3.161
1972;Основы теории управления физическими установками;4.393
1973;Научно-педагогическая практика;2
1974;Бурение нефтяных и газовых скважин с отбором керна;4
1975;Учебная практика;4.455
1976;Производственный менеджмент в машиностроении;4
1977;Технология и техника геологоразведочных работ;5
1978;Web-программирование;4.792
1979;Теплофизика и теоретическая теплотехника;3.8
1980;Теоретическая механика 1.4;3.857
1981;Электропитание электронной медицинской аппаратуры;2
1982;Приборы и методы экспериментальной физики;5
1983;Технологическое оборудование для сварки и резки;3.455
1984;Методология и технология проектирования информационных систем;4.8
1985;Схемотехника систем управления и автоматики;2
1986;Управление проектами информационных систем;4.8
1987;Проектная документация для разработки месторождений;4.8
1988;Электрохимические производства;4.516
1989;Радиохимическая переработка облученного ядерного топлива;4.742
1990;Планирование измерительных экспериментов;2
1991;Теория автоматического управления и защит;3.783
1992;Экономика нефтегазовых отраслей;4
1993;Энергосбережение в теплоэнергетике и теплотехнологиях;3.333
1994;Конструирование и технология приборов и установок;4.143
1995;Нормативная база сварочного производства;4
1996;Законодательство в области использования атомной энергии;2
1997;Теория погрешностей;2
1998;Основы обеспечения безопасности физических установок;4
1999;Компьютерное моделирование автоматических систем;2
2000;Эксплуатация и ремонт технологического оборудования;4.645
2001;Биофизика;4.235
2002;Узлы и элементы биотехнических систем;4.265
2003;Правовое обеспечение землеустройства и кадастров;5
2004;Региональное землеустройство;3
2005;Лабораторные методы изучения минерального сырья;4.125
2006;Паропроизводящие установки ТЭС и АЭС;3.586
2007;Управление земельными ресурсами и иными объектами недвижимости;2
2008;Экономика 2.2;4.313
2009;Безопасность жизнедеятельности и ведения геолого- разведочных работ;3.333
2010;Авиационные материалы;4
2011;Семестровый проект;4
2012;Компьютерное моделирование 3ДС Макс;4
2013;Разработка и производство с применением компьютеров;5
2014;Региональная Геология;2.833
2015;Физические основы спектроскопии;2
2016;Введение в электронику;4.5
2017;Стандартизация и контроль качества;4
2018;Введение в робототехнику;4
2019;Механика деформируемого твердого тела;3
2020;Основы геохимии;4
2021;Моделирование разработки природного резервуара;4.571
2022;Подземная гидродинамика и интерпретация результатов испытания скважин;4.571
2023;Техника и технология добычи нефти и газа в осложненных условиях;4.607
2024;Металлы и полупроводники: технологии и процессы;4.435
2025;Английский язык 2;4
2026;Проектирование и архитектура программных систем;4.957
2027;Разработка Web-приложений для бизнеса;3
2028;Тестирование программного обеспечения;4.478
2029;Проектный менеджмент (ЭТО);2
2030;Электротехнические материалы и изделия;5
2031;Методы функционального анализа в экономических расчётах;2
2032;Системы баз данных;3.5
2033;Основы ресурсоэффективных технологий использования минеральных ресурсов;2
2034;Введение в квантовую информацию;5
2035;Нанопроизводство;5
2036;Спутниковая навигация и мониторинг;4
2037;Потребители электрической энергии и энергосбережение;4.108
2038;Опасные природные процессы;3.769
2039;Электромагнитные и акустические исследования скважин;4.146
2040;Экономика 1.3;4
2041;Моделирование энерго- и ресурсосберегающих процессов в химической технологии, нефтехимии и биотехнологии;4.35
2042;Процессы и аппараты защиты окружающей среды;2
2043;Защита информации;2
2044;Оптический неразрушающий контроль;5
2045;Шрифты;4.5
2046;Курсовой проект по спецтехнологии;2
2047;Технические измерения,приборы и средства автоматизации;4.028
2048;Технология благородных металлов;2
2049;Геология и геохимия горючих полезных ископаемых;2
2050;Программируемые реле и промышленные контроллеры;2
2051;Основы металлогении и структура рудных полей;2
2052;Теория горения и взрыва;3.634
2053;Ядерная и радиационная безопасность;4.5
2054;Современные электрофизические комплексы;4.667
2055;Кадастр недвижимости и мониторинг земель;4.353
2056;Технические средства автоматики и управления;4
2057;Физико-химические методы анализа объектов окружающей среды;4
2058;Интерпретация данных геофизических исследований скважин;4.073
2059;Гидромеханика;2.667
2060;Электрооборудование автомобилей и тракторов;2
2061;Теория и технология производства стали;3.571
2062;Основы электрометаллургии стали и производства ферросплавов;4.3
2063;Экономика 2 (ЭТО);4.654
2064;Теория механизмов и машин 1.4;4.095
2065;Производственная и пожарная автоматика;3.889
2066;Математическое и имитационное моделирование;4.111
2067;Кристаллография;2
2068;Маркшейдерия;2.333
2069;Геофизические методы исследования скважин;4.056
2070;Термическая обработка сталей и сплавов;2
2071;Интернет-программирование;4.167
2072;Машины и оборудование в растениеводстве;3.473
2073;Динамика и прочность;4
2074;Физическая защита ядерных объектов. Часть 1;4.737
2075;Интеллектуальные информационные системы;2
2076;Комплексирование геофизических методов разведки;2
2077;Системная архитектура;3.75
2078;Методы функционального анализа в инженерных расчётах;3.857
2079;Комплексный экзамен по модулю базовой инженерной подготовки;4
2080;Геология, поиски и разведка твердых полезных ископаемых,минерагения;5
2081;Практикум по экономике недвижимости;3.077
2082;Автоматизированные системы управления технологическими процессами ядерного топливного цикла;3.333
2083;Учение о геохимии и геохимических циклах;4.833
2084;Методы и системы обработки данных;4.8
2085;Физиология человека;4.333
2086;Машины и аппараты химических,нефтеперерабатывающих и нефтехимических производств;4.522
2087;Квантовая и оптическая электроника;4.208
2088;Физическая химия тугоплавких неметаллических и силикатных материалов;4.455
2089;Электрохимические технологии разделения изотопов;2
2090;Правовые основы гражданской защиты;3.423
2091;Технические методы диагностических исследований и лечебных воздействий;4.235
2092;Кинетика физико-химических явлений и процессов,методы их изучения. Часть 2;4.571
2093;Системный анализ и принятие решений;4.667
2094;Геохимический мониторинг;4.536
2095;Основы надежности и логического управления;4.045
2096;Экономическая социология;3.556
2097;Химия окружающей среды;3.893
2098;Межевание объектов землеустройства;4.263
2099;Проектирование газонефтепроводов и газонефтехранилищ;4.299
2100;Проектирование распределенных инфокоммуникационных систем;4.15
2101;Процессы и аппараты биотехнологии;4.685
2102;Техногенные системы и экологический риск;4.357
2103;Планирование эксперимента в экономике;2
2104;Прикладной функциональный анализ;4
2105;Аппаратные средства информационных систем;4.083
2106;Геоинформатика;3.917
2107;Инженерные сооружения;2
2108;Мерзлотоведение;2
2109;Геофизические методы контроля разработки месторождений полезных ископаемых;3.667
2110;Комплексный проект;3.934
2111;Интеллектуальные системы и технологии;2
2112;Электронные цепи импульсного действия;4.063
2113;Математическое моделирование и методы кибернетики химико-технологических процессов;4.278
2114;Технологии облачных вычислений в бизнесе;4.826
2115;Основы предпринимательской деятельности;3.813
2116;Основы проведения разведочных выработок;2
2117;Физика разрушения горных пород;3.417
2118;Электропитающие системы и электрические сети;3.7
2119;Операционные системы и сети;4.455
2120;Основы микропроцессорной техники;4.263
2121;Управление в биотехнических системах;4.375
2122;Управление программными проектами;2
2123;Электроснабжение и электропотребление на предприятиях;3.5
2124;Электрические и гидравлические приводы мехатронных и робототехнических устройств;4.543
2125;Товароведение углеводородных продуктов;4
2126;Силовые электронные устройства автоматики;2.75
2127;Аппаратура геофизических исследований скважин;3.927
2128;Практикум по технико-экономическому обоснованию и управлению нефтегазовыми проектами;4
2129;Основы проектирования тепловых электростанций;2
2130;Информационные устройства в мехатронике и робототехники;4
2131;Физическая защита ядерных объектов. Часть 2;4.778
2132;Центробежный метод разделения изотопов;2
2133;Теория игр и исследование операций;3.692
2134;Финансовая математика;4.313
2135;Управление процессами;4.531
2136;Физическая и ядерная безопасность;4.423
2137;Практикум по бизнес-планированию;3.607
2138;Методы контроля технологических переменных в производствах ядерного топливного цикла;4
2139;Переработка нефти и газа. Часть 1;4.588
2140;Практикум по планированию на предприятии;4.182
2141;Практикум по ТЭО инновационных проектов;3.591
2142;Системы управления химико-технологическими и нефтехимическими процессами;4.381
2143;Промышленная органическая химия;2
2144;Теория экономического анализа;3.528
2145;Правовое обеспечение инновационной деятельности;4.783
2146;Общеинженерный проект;3.806
2147;Геотектоника и геодинамика;2
2148;Финансово-промышленный аудит;3.944
2149;Полезные ископаемые;2.714
2150;Поиски и разведка подземных вод;2
2151;Методика инженерно-геологических исследований;2
2152;Картирование рудных полей и месторождений;2
2153;Литология нефтегазоносных толщ;4.087
2154;Проектирование устройств мехатроники и робототехники;2
2155;Математическое моделирование процессов в чрезвычайных ситуациях;4.2
2156;Классическая электродинамика;3.8
2157;Опробование твердых полезных ископаемых;2
2158;Основы квантовой электроники;4.267
2159;Микропроцессорные контроллеры;4
2160;Земельный кадастр и мониторинг земель;2
2161;Конструкции и проектирование электропечей и агрегатов;3.182
2162;Электроснабжение потребителей и режимы;3.622
2163;Ремонт котельных установок,монтаж оборудования ТЭС;4.182
2164;Стационарные машины;4
2165;Методы вычислительной математики;3.529
2166;Бухгалтерское дело;3.931
2167;Теория и технология электроплавки сталей;4.1
2168;Теория и технология производства ферросплавов;3.4
2169;Основы технологии переработки руд;4.056
2170;Детали машин и основы проектирования 1.4;4.167
2171;Компьютерное управление в мехатронике и робототехнике;4
2172;Обогащение полезных ископаемых;3
2173;Проектный практикум;4.389
2174;Теория и практика применения управленческих решений;2
2175;Сопротивление материалов 1.4;4.333
2176;Эксплуатация машинно-тракторного парка;4
2177;Разрушение горных пород при проведении геологоразведочных работ;4.75
2178;Экономика программной инженерии;2
2179;Геоурбанистика и география населения;2
2180;Дистанционные методы геологических исследований;2.444
2181;Геомеханика;3
2182;Пожарная безопасность технологических процессов в машиностроении;3.75
2183;Эксплуатация газопроводов;4.636
2184;Основы проектирования процессов переработки природных энергоносителей;4.472
2185;Исследования кернового материала нефтегазовых скважин;2
2186;Экспериментальные методы ядерной физики. Часть 1;4.6
2187;Релейная защита и автоматизация систем электроснабжения;4.1
2188;Основы биотехнологии;4.611
2189;Инженерная геодинамика;2.333
2190;Геолого-геофизическое моделирование разрабатываемых залежей;4.244
2191;Методы и приборы контроля и мониторинга техносферы;4.643
2192;Ознакомительная учебная практика;4
2193;Техническое конструирование;4.917
2194;Основы разработки месторождений нефти и газа;3
2195;Переработка нефти и газа. Часть 2;4.556
2196;Риск-менеджмент;5
2197;Основы маркетинга в инновационной сфере;4.761
2198;Микроэлектроника 2.1;4.146
2199;Организация и планирование автоматизированных производств;2.25
2200;Надзор и контроль в сфере безопасности;2.444
2201;Промышленная безопасность;4.4
2202;Спасательная техника и базовые машины;3.727
2203;Процессы и оборудование производств ядерного топливного цикла,как технологические объекты управления;4.5
2204;Охрана окружающей среды;4.75
2205;Статистические методы в управлении качеством;4.625
2206;Управление инновационными проектами;4.652
2207;Биотехнические системы медицинского назначения;4.294
2208;Реакторное производство изотопов;4.133
2209;Макрокинетика химических процессов и расчет реакторов;4.056
2210;Гидромашины и компрессоры;3.5
2211;Защита от коррозии оборудования нефтегазового производства;3.182
2212;Автоматизированный электропривод типовых производственных механизмов;3.371
2213;Системы управления электроприводов;3.557
2214;Гидромашины и компрессоры Часть 1;4.067
2215;Разведка и геолого-экономическая оценка месторождений полезных ископаемых;3.879
2216;Международные стандарты учета и финансовой отчетности;4.458
2217;Оценка и управление стоимостью предприятия;4.135
2218;Технология переработки углеводородного сырья;4.16
2219;Тепломеханическое и вспомогательное оборудование электростанций;2.5
2220;Практикум по организации и управлению производством на предприятиях нефтяной и газовой промышленности;3.5
2221;Теория турбомашин;4.455
2222;Проектирование технологической оснастки;2
2223;Проектирование цехов промышленных предприятий;4
2224;Экономика общественного сектора и социальная политика;4
2225;Объемное моделирование;5
2226;Основы проектирования и оборудование биотехнологических производств;4.639
2227;Производственная логистика;2
2228;Управление бизнес-процессами в ERP-системах;3
2229;Компьютерное управление мехатронными системами;4
2230;Практикум по производственному менеджменту;4.014
2231;Физика защиты. Часть 1;3.909
2232;Основы проектирования электростанций;3.409
2233;Управление информационными системами;4.167
2234;Геолого-технологические исследования нефтяных и газовых скважин;4.161
2235;Технология командной разработки программного обеспечения;4.261
2236;Управление производством;2
2237;Городской кадастр;4.176
2238;Буровые машины и механизмы;4.083
2239;Направленное бурение;3.667
2240;Управление в преобразовательной технике;4.167
2241;Программное обеспечение для проектирования ЭВМ;2
2242;Русская литература;5
2243;Основы мехатроники,робототехники и числовые программные устройства;4.522
2244;Конструкторско-технологическое обеспечение производства ЭВМ;3
2245;Химия и технология органических веществ. Часть 1;3.796
2246;Горнопромышленная и нефтегазопромысловая Геология, геофизика,маркшейдерское дело и геометрия недр;4.5
2247;Общая технология керамики и огнеупоров;3.9
2248;Топливо и смазочные материалы;3.667
2249;САПР горных машин;4.111
2250;Теория химико-технологических процессов органического синтеза;4.02
2251;Изоляция электротехнического оборудования высокого напряжения;4.136
2252;Динамика и прочность газоперекачивающих агрегатов;4.75
2253;Горные машины и оборудование подземных горных работ;4.059
2254;Безопасность ведения горных работ и горноспасательное дело;4.444
2255;Пожаровзрывозащита;3.969
2256;Газодымозащитная служба;2
2257;Математическое и имитационное моделирование мехатронных систем;3.583
2258;Администрирование вычислительных сетей и систем;4.333
2259;Эксплуатация и ремонт машин и оборудования нефтяных и газовых промыслов;3.875
2260;Расчет и проектирование газоперекачивающих агрегатов;3.756
2261;Мехатронные системы летательных аппаратов;3.917
2262;Транспортные машины;4.125
2263;Измерение неэлектрических величин;4.957
2264;Организация службы контроля и диагностики;4.1
2265;САПР технологических процессов нефтегазовых производств;3.563
2266;Современные компьютерные технологии в автоматизированных системах управления технологическими процессами;2
2267;Средства автоматизации и приборы контроля химического производства;4.759
2268;Физика защиты. Часть 2;3.909
2269;Экспериментальные методы ядерной физики. Часть 2;4.2
2270;Геофизический контроль в бурении и эксплуатации скважин;4.158
2271;Сбор и подготовка скважинной продукции;4.658
2272;Электрооборудование и электроснабжение;4.4
2273;Переходные процессы в энергосистемах;3.818
2274;Информационное обеспечение инновационной деятельности;4.826
2275;Химия биологически активных веществ;4.778
2276;Основы технической диагностики электрооборудования;4.778
2277;Практикум по анализу хозяйственной деятельности;3.537
2278;Автоматизированное проектирование технологического оборудования;5
2279;Цифровая обработка сигналов;4.2
2280;Высоковольтные испытательные установки и измерения;3.545
2281;Математическое моделирование в высоковольтной электротехнике;3.364
2282;Функциональные системы летательных аппаратов;4.167
2283;Физические методы контроля;4.125
2284;Сертификация систем качества;4.375
2285;Аналоговые измерительные устройства;3.435
2286;Оптические и световые приборы;2
2287;Проектирование осветительных установок;4.036
2288;Ценообразование;3.741
2289;Аппаратура для ремонта и наладки устройств электроснабжения;4.4
2290;Измерительные преобразования в низкочастотных электромагнитных полях;3.957
2291;Методы защиты окружающей среды и технологии водопользования;4.6
2292;Методы анализа,контроля и оценки соответствия биологически активных веществ. Часть 1;4.412
2293;Заканчивание скважин;4.239
2294;Преобразовательные устройства;4
2295;Акустические методы контроля;3.95
2296;Визуальный и измерительный контроль;4.2
2297;Ввод и обработка данных дистанционного зондирования Земли;4.364
2298;Искусственный интеллект и логическое программирование;4.826
2299;Методы и приборы физических измерений. Часть 2;4.417
2300;Методы и средства измерений,испытаний и контроля;4.625
2301;Специальный лабораторный практикум;4.562
2302;Методы и процедуры учета и контроля ядерных материалов;4.444
2303;Моделирование вычислительных систем и сетей;4.214
2304;Бурение гидрогеологических и инженерно-геологических скважин;4
2305;Автоматизация и роботизация технологических процессов;4.063
2306;Осложнения и аварии в бурении;4.13
2307;Компьютерный анализ данных;4.088
2308;Основы расчета и проектирования электроснабжения промышленных предприятий;3.81
2309;Гидромашины и компрессоры Часть 2;4.333
2310;Схемотехника ЭВМ. Часть 2;3
2311;Стратегия управления инновационной деятельностью;4.913
2312;Техника и технология бурения нефтяных и газовых скважин;3.5
2313;Техника и технология добычи и подготовки нефти и газа;2.5
2314;Особенности технологии бурения скважин в осложненных условиях;4.2
2315;Комплексная интерпретация геофизических данных;4.29
2316;Основы геофизических методов исследований при инженерно-геологических изысканиях;3.833
2317;Паротурбинные и парогазовые установки;2.5
2318;Системы связи и оповещения;3.896
2319;Механическое оборудование карьеров;4.375
2320;Аэрология горных предприятий;3
2321;Экспериментальные методы исследований;4.375
2322;Магнитный,электрический,вихретоковый контроль;3.95
2323;Теория каскадов для разделения двухкомпонентных изотопных смесей;4.357
2324;Проектирование робототехнических систем;4.382
2325;Радиационные методы контроля;4.65
2326;Системы числового программного управления;4.3
2327;Очистные агенты;3.818
2328;Тампонажные смеси;3.818
2329;Геонавигация в бурении;4.674
2330;Техника и технология добычи и подготовки нефти и газа Часть 1;3.533
2331;Международные стандарты аудита;4.105
2332;Динамика и безопасность ядерных реакторов;4.64
2333;Системы управления ядерными энергетическими установками и атомными электрическими станциями;4.52
2334;Электрический привод производственных механизмов нефтегазовой отрасли;4.444
2335;Управление в гибких производственных системах;4.313
2336;Техника и технология добычи и подготовки нефти и газа Часть 2;3.6
2337;Тактика сил Единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций и гражданской обороны;4.063
2338;Компьютерные модели и их применение;4.412
2339;Основы разработки месторождений твердых полезных ископаемых;2
2340;Композиционные и неметаллические материалы;4.619
2341;Инфокоммуникационные спутниковые системы;4.8
2342;Основы горно-промышленной геологии и маркшейдерии;2
2343;Оптико-электронные системы;3.769
2344;Физика защиты. Часть 3;4.227
2345;Технологические процессы выработки электроэнергии на ТЭС и ГЭС;2
2346;Оборудование заводов тугоплавких неметаллических и силикатных материалов;4.5
2347;Основы проектирования предприятий тугоплавких неметаллических и силикатных материалов;4.5
2348;Использование методов биотехнологии в производстве биологически активных веществ;4.722
