number;name;avgMark
387;Мобильные роботы;2
388;Основы производственного менеджмента;3
389;Химия 1.5;3.225
390;Интернет-технологии;4.4
391;Экономика и управление народным хозяйством (по отраслям и сферам деятельности в т.ч.: экономика, организация и управление предприятиями, отраслями, комплексами управление инновациями региональная экономика логистика экономика природопользования менеджмент землеустройство);3
392;Логистика;2.429
393;Программные средства математических расчетов;2.833
394;Теория информационных процессов и систем;4.111
395;Маркетинг персонала;2
396;Международные системы управленческого учета;2
397;Бухгалтерский учет и его автоматизация;4
398;Математический анализ 3;3.386
399;Защита интеллектуальной собственности и патентоведение;2
400;Основы гидрогеологии и инженерной геологии;2.143
401;Деловая коммуникация;2
402;Гравиразведка;3.333
403;Стилистика и литературное редактирование;2
404;Теория автоматического управления;3.029
405;Экономическая теория 2.2;3.3
406;Разработка нефтяных и газовых месторождений;4.168
407;Основы нефтегазового дела;2.556
408;Методы компьютерного моделирования физического эксперимента;2
409;Органическая химия. Часть 2;2.4
410;Методы исследования наноматериалов;4.5
411;Приборы ориентации и навигации. Часть 1;4
412;Электрические и электронные аппараты;3.571
413;Технологии получения наноматериалов;4
414;Математические методы и модели в управлении;2
415;Электрические машины в приборостроении;4.036
416;Математика 1.4;3.15
417;Химия 2.6;3.225
418;Маркетинг инноваций;3.929
419;Основы ресурсоэффективных технологий природопользования;2
420;Схемотехника измерительных устройств;3.327
421;Синтез автоматических приборных устройств;3.7
422;Периферийные устройства;3.478
423;Этика деловых отношений;2.364
424;Математические методы и моделирование в маркетинговой деятельности;2
425;Экономика фирмы;3.749
426;Управление персоналом на предприятии;4
427;Геологические основы разработки нефтяных и газовых месторождений;4.667
428;Корпоративное управление;3.704
429;Микропроцессорные системы;4.25
430;Экономика недвижимости;4.278
431;Антикризисное управление;4.893
432;Стандартизация, Метрология, подтверждение соответствия;2
433;Предпринимательское право;2
434;Банковский менеджмент;2
435;Основы проектирования и САПР;2
436;Электромеханика;4.115
437;Основы автоматизации технологических процессов нефтегазового производства;4.338
438;Общая химическая технология;4.403
439;Физическая химия;3.426
440;Введение в профессиональную деятельность;2
441;Коммерческая деятельность;2
442;Технология и оборудование контактной сварки;4.125
443;Практический курс второго иностранного языка (английский);3
444;Экспериментальные методы в исследовании конденсированного состояния;4.103
445;Электронная коммерция;4
446;Введение в водородную энергетику;2
447;Древние языки и культуры;2.5
448;Общая энергетика;2.588
449;Практический курс первого иностранного языка (китайский);2.667
450;Введение в нанотехнологии;4
451;Математические методы финансового анализа;5
452;Методы оптимизации;4.301
453;Исследование и испытание котлов;4.64
454;Аналитическая химия и физико-химические методы анализа;3.224
455;Теория машин и оборудования в животноводстве;2
456;Теоретическая грамматика;3
457;Парогенераторы АЭС;3.417
458;Радиометрия и ядерная геофизика;3.5
459;Взаимодействие излучения с веществом;3.75
460;Основы научных исследований и проектирования;2
461;Литература;2
462;Подготовка,транспорт и хранение скважинной продукции;2.286
463;Физика атома;5
464;Петрография и литология;3
465;Оптимизация химико-технологических процессов;4.5
466;Экономика организации;5
467;Статистические методы в управлении инновациями;4.784
468;Гидравлика и нефтегазовая гидромеханика;3.911
469;Макроэкономика;3.41
470;Релейная защита электроэнергетических систем;3.88
471;Геометрическое моделирование и основы САПР;4.636
472;Электротехника;3.091
473;Логика и теория алгоритмов;5
474;Основы учения о полезных ископаемых;3.716
475;Физика 3 (ЭТО);3.741
476;Оценка бизнеса;4.104
477;Бухгалтерский учет;4.154
478;Финансы и денежное обращение;2.8
479;Электрофизические установки;5
480;Методы оптимизации и организации энерго-и ресурсосберегающих химико-технологических систем;4.734
481;Метрология и обработка результатов измерений;4.75
482;Механика 1.2;3.671
483;Современные проблемы науки в области техносферной безопасности;2
484;Кристаллография и минералогия;3.41
485;Конструирование и расчет элементов оборудования отрасли;3.344
486;Буровые станки и бурение скважин;3.298
487;Гидравлика и гидропневмопривод;3
488;Электроника 1.1;2.278
489;Русский язык и культура речи;2.063
490;Физика 1.3;4.194
491;Машины и оборудование для природообустройства и водопользования;2
492;Реклама и рекламная деятельность;2
493;Геодезическое обеспечение строительства нефтегазопроводов и газонефтехранилищ;2
494;Теория и практика массовой информации;2
495;Информационная безопасность и защита информации;4.333
496;Системное программное обеспечение;3.476
497;Основы управления персоналом;5
498;Документационное обеспечение управления персоналом;3.5
499;Электротехника и промышленная электроника;2
500;Сварка пластмасс и склеивание металлов;3
501;Конструирование и расчет сварочных приспособлений;4
502;Управленческая экономика;4.671
503;Специальные главы прочности;2
504;Технология подготовки воды;4
505;Экономика отрасли;4.5
506;Металлообрабатывающее оборудование;3.405
507;Математика 2.4;3.7
508;Перевод в сфере делового общения;2
509;Автоматизация проектирования;4.219
510;Теория статистики;3.083
511;Методы проектирования в энергомашиностроении;2
512;Трейд маркетинг;2
513;Организация, технология и проектирование предприятий;4
514;Технология приборостроения;3.5
515;Технология сжигания органических топлив;4.167
516;Введение в языкознание;2.6
517;Химия 1.3;3.643
518;Основы анализа поверхности твердых тел и тонких пленок;3.836
519;Теория вероятностей, математическая статистика и случайные процессы;2.5
